Temperature,Humidity,Pressure,C,Analysis_Date
28.973713224089863,64.86125954092192,998.8462925794959,1,2025-07-18
23.89388559063052,54.22376579375525,1008.7935467723464,4,2025-07-18
30.18150830480554,34.89231899678743,1009.5728548347323,6,2025-07-18
37.184238851264205,48.42260103282911,1004.9772273077838,2,2025-07-18
23.126773002213312,75.46499283743927,1011.38714288334,4,2025-07-18
23.126904344406555,73.96920178674299,1017.0405085681454,4,2025-07-18
40.0,26.550572804929836,1030.0,4,2025-07-18
31.13947783322327,38.75327005356225,1014.7457781283184,2,2025-07-18
21.244204912520384,64.96895147105346,1015.5755039072277,3,2025-07-18
29.340480348687716,74.63317690683539,1012.2555408423383,1,2025-07-18
21.292658457500302,52.81238643232065,993.8122878470095,5,2025-07-18
21.274161971437945,57.215115350042744,1012.7348612455079,2,2025-07-18
26.935698172528273,43.40497538990958,1013.6023020994103,2,2025-07-18
12.363390257184085,33.645520511031954,1030.0,2,2025-07-18
11.200657339895738,72.18788733591298,1011.0763903521888,3,2025-07-18
20.501699766072218,80.34360042856234,1016.0154734233362,5,2025-07-18
16.89735103732461,58.91984817629499,1012.6528823029475,1,2025-07-18
27.51397866076219,75.05299346838036,1001.3132196238047,4,2025-07-18
21.94522103832235,52.339632300571616,1024.4282281451501,1,2025-07-18
17.731668851586402,40.258562944738514,1020.5193303268677,4,2025-07-18
38.98600664926068,36.63572308627067,1020.9103194704305,4,2025-07-18
23.193789596107713,83.07054849698955,1003.9061254520526,5,2025-07-18
28.8059910965592,47.57008753068058,1027.027943109361,4,2025-07-18
13.602014510292346,83.4696548372101,998.9814893720772,3,2025-07-18
20.64493820379854,20.703823438653835,1018.8685709380027,1,2025-07-18
27.976772375993143,57.86283005250269,1030.0,1,2025-07-18
15.792051380621578,61.30570602357257,1003.0946367486931,4,2025-07-18
28.005584146765376,55.51488974301199,1007.3370227039723,3,2025-07-18
20.194890480649562,61.37641164803254,1013.9965136508764,3,2025-07-18
22.666450001653786,30.186466280986608,1007.965243458838,5,2025-07-18
20.186347102164824,56.70492168243732,997.4933656893387,3,2025-07-18
39.818225476071504,45.74968200087333,1013.6856297480603,4,2025-07-18
24.892022202096527,82.16841067112274,1002.376962862739,3,2025-07-18
16.538312568352797,52.22594672589529,1017.7359243063518,2,2025-07-18
31.580359296825513,33.510817169621525,1003.805757657662,6,2025-07-18
18.749316664541908,41.97891547698556,1028.4993440501753,1,2025-07-18
26.670908760038042,73.73103176553111,1005.1674670766376,4,2025-07-18
10.0,64.93126664489526,1009.7793848379432,1,2025-07-18
16.454119517864147,41.64287755479554,1021.1351721736967,5,2025-07-18
26.574889886952988,67.69901149670034,1000.6913568356605,4,2025-07-18
30.907732639963285,43.01931426815442,1015.2745993460413,6,2025-07-18
30.519005088286974,59.623739886394674,1026.0714275428243,3,2025-07-18
24.074813740894076,49.469203591839715,996.9251676543877,4,2025-07-18
22.59117043528569,55.085067801033475,1014.846338585323,3,2025-07-18
13.171824077060581,54.118377703017636,1015.5988279424843,1,2025-07-18
23.345221253613037,30.437820622414577,1020.8182287177731,1,2025-07-18
21.3148898323217,64.44180415596864,1000.6304928912192,4,2025-07-18
33.45697780975132,44.74108035788883,999.7954338691573,6,2025-07-18
27.74894631654769,60.07670184963691,1018.219415656169,5,2025-07-18
10.895678757098128,56.481192999372794,1015.9698467323319,5,2025-07-18
